product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
451,cic_usdt,10,0.00010000,0.10000000
455,chat_btc,10,0.00000001,0.01000000
456,chat_eth,10,0.00000001,0.01000000
457,chat_usdt,10,0.00010000,0.01000000
458,insur_btc,10,0.00000001,0.10000000
459,insur_eth,10,0.00000001,0.10000000
460,insur_usdt,10,0.00010000,0.10000000
461,cbt_btc,10,0.00000001,0.01000000
462,cbt_eth,10,0.00000001,0.01000000
463,cbt_usdt,10,0.00010000,0.01000000
464,r_btc,1,0.00000001,0.00100000
465,r_eth,1,0.00000001,0.00100000
466,r_usdt,1,0.00010000,0.00100000
467,uct_btc,10,0.00000001,0.01000000
468,uct_eth,1,0.00000001,0.00100000
469,uct_usdt,1,0.00010000,0.00100000
470,bec_btc,1,0.00000001,0.00100000
471,bec_eth,1,0.00000001,0.00100000
472,bec_usdt,1,0.00010000,0.00100000
473,mith_btc,1,0.00000001,0.00100000
474,mith_eth,1,0.00000001,0.00100000
475,mith_usdt,1,0.00010000,0.00100000
476,abt_btc,1,0.00000001,0.00100000
477,abt_eth,1,0.00000001,0.00100000
478,abt_usdt,1,0.00010000,0.00100000
479,bkx_btc,1,0.00000001,0.00100000
480,bkx_eth,1,0.00000001,0.00100000
481,bkx_usdt,1,0.00010000,0.00100000
482,gtc_btc,10,0.00000001,0.01000000
483,gtc_eth,10,0.00000001,0.01000000
484,gtc_usdt,10,0.00010000,0.01000000
485,auto_btc,10,0.00000001,0.10000000
486,auto_eth,10,0.00000001,0.10000000
487,auto_usdt,10,0.00010000,0.10000000
491,rfr_btc,10,0.00000001,0.10000000
492,rfr_eth,10,0.00000001,0.10000000
493,rfr_usdt,10,0.00010000,0.10000000
494,trio_btc,10,0.00000001,0.10000000
495,trio_eth,10,0.00000001,0.10000000
496,trio_usdt,10,0.00010000,0.10000000
497,tra_btc,10,0.00000001,0.10000000
498,tra_eth,10,0.00000001,0.10000000
499,tra_usdt,10,0.00010000,0.10000000
500,ren_btc,10,0.00000001,0.01000000
501,ren_eth,10,0.00000001,0.01000000
502,ren_usdt,10,0.00010000,0.01000000
503,wfee_btc,10,0.00000001,0.10000000
504,wfee_eth,10,0.00000001,0.10000000
505,wfee_usdt,10,0.00010000,0.10000000
506,dadi_btc,1,0.00000001,0.00100000
507,dadi_eth,1,0.00000001,0.00100000
508,dadi_usdt,1,0.00010000,0.00100000
509,enj_btc,10,0.00000001,0.01000000
510,enj_eth,10,0.00000001,0.01000000
511,enj_usdt,10,0.00010000,0.01000000
512,ont_btc,0.1,0.00000001,0.00100000
513,ont_eth,0.1,0.00000001,0.00100000
514,ont_usdt,0.1,0.00010000,0.00100000
515,okb_usdt,1,0.00010000,0.00010000
516,okb_btc,1,0.00000001,0.00010000
517,okb_eth,1,0.00000001,0.00010000
518,ltc_okb,0.01,0.00010000,0.00000100
519,etc_okb,0.01,0.00010000,0.00001000
520,bch_okb,0.001,0.00010000,0.00000100
521,xrp_okb,0.01,0.00010000,0.00000100
522,eos_okb,0.01,0.00010000,0.00000100
523,qtum_okb,0.01,0.00010000,0.00000100
524,dash_okb,0.01,0.00010000,0.00000100
525,neo_okb,0.01,0.00010000,0.00000100
526,iota_okb,0.01,0.00010000,0.00000100
527,zec_okb,0.01,0.00010000,0.00000100
528,ctxc_btc,0.01,0.00000001,0.00100000
529,ctxc_eth,0.01,0.00000001,0.00100000
530,ctxc_usdt,0.01,0.00010000,0.00100000
531,zil_btc,1,0.00000001,0.00100000
532,zil_eth,1,0.00000001,0.00100000
533,zil_usdt,1,0.00010000,0.00100000
534,you_okb,10,0.00001000,0.00000001
535,you_btc,0.1,0.00000001,0.00000001
536,you_eth,0.1,0.00000001,0.00010000
537,you_usdt,0.1,0.00001000,0.00010000
538,lba_okb,0.1,0.00010000,0.00100000
539,lba_btc,0.1,0.00000001,0.00010000
540,lba_eth,0.1,0.00000001,0.00010000
